Artists1,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
lofi.samurai,oldies,love,66,81037,False,0.864,0.482,8,-16.789,0,0.225,0.664,1.68e-05,0.269,0.964,133.234,4,chill
Rufi-O,Oblivion,Oblivion,66,152920,False,0.714,0.131,5,-21.958,1,0.0556,0.975,0.904,0.354,0.685,113.032,4,chill
b/t,Blossom,Blossom,63,161685,False,0.873,0.238,5,-16.148,1,0.138,0.327,0.0,0.178,0.741,94.985,4,chill
demxntia,i won't let you feel alone again,i won't let you feel alone again,60,148361,False,0.766,0.426,0,-8.413,1,0.0573,0.812,0.0,0.108,0.436,109.925,4,chill
dhruv,Blur,Blur,57,220550,False,0.747,0.789,0,-3.789,0,0.039,0.0651,2.42e-05,0.0727,0.646,118.035,4,chill
Lexi Jonga,I Don't Want,I Don't Want,63,105293,False,0.663,0.166,9,-13.851,0,0.213,0.95,0.00904,0.114,0.732,125.613,4,chill
Pink Sweat$,At My Worst (Gustixa Remix),At My Worst (Gustixa Remix),50,142499,False,0.754,0.6,0,-7.027,1,0.0446,0.798,0.0149,0.344,0.351,92.02,4,chill
LRN Slime,why am i crying,Letter to Jarad,67,204659,False,0.873,0.0903,8,-26.551,0,0.071,0.911,0.112,0.105,0.785,121.981,4,chill
Teqkoi,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,63,120000,True,0.698,0.183,8,-20.188,1,0.299,0.462,0.000424,0.335,0.244,143.96,4,chill
SHRK,Lost in Love,I'll Bite Your Soul,69,123186,False,0.786,0.37,6,-16.84,0,0.0695,0.768,0.373,0.139,0.18,101.966,4,chill
keshi,bandaids,less of you,69,206893,False,0.563,0.678,7,-5.885,1,0.0495,0.544,1.34e-06,0.117,0.568,169.963,4,chill
Gentle Bones,I Wouldn't Know Any Better Than You,I Wouldn't Know Any Better Than You,62,151041,False,0.708,0.485,2,-5.552,1,0.0699,0.21,0.0,0.104,0.281,139.99,4,chill
Raspo,spirit lead me where my trust is without borders,spirit lead me where my trust is without borders,56,128906,False,0.749,0.124,10,-16.562,1,0.0398,0.849,0.819,0.132,0.164,108.016,4,chill
Shady Moon,Cherry Blossoms,Cherry Blossoms,71,138367,True,0.792,0.346,8,-11.424,1,0.25,0.74,0.000776,0.223,0.462,117.932,4,chill
yaeow,Worn Out Heart,Do You Ever Think of Me?,53,125538,False,0.771,0.253,1,-13.368,1,0.182,0.7,0.0,0.0627,0.662,129.944,4,chill
Mokita,Crash,Crash,63,168274,False,0.696,0.678,6,-5.679,0,0.0391,0.441,0.0,0.069,0.517,146.998,4,chill
Kochetkovv,Lonely Boy,Scars,61,80718,False,0.738,0.517,7,-9.416,0,0.0696,0.72,0.0439,0.168,0.238,119.024,4,chill
keshi,bandaids,blue,66,178600,False,0.513,0.563,1,-8.689,1,0.0338,0.0701,1.62e-06,0.0956,0.217,160.051,4,chill
Devin Kennedy,SunDayDreams,Hurt U,59,172493,False,0.678,0.558,2,-8.235,1,0.0526,0.573,0.0,0.105,0.574,147.98,4,chill
CORBAL,Imagination,Imagination,66,104783,False,0.814,0.0987,7,-22.009,1,0.038,0.702,0.872,0.114,0.872,109.975,5,chill
fenekot,Slowed + Reverb,Habits (Stay High) (Slowed + Reverb),56,144000,False,0.703,0.284,8,-12.47,1,0.0787,0.885,0.000997,0.111,0.0979,91.824,4,chill
Dept,Spring in Winter,Winter blossom,60,168870,False,0.501,0.481,10,-5.554,1,0.0959,0.443,0.0,0.0899,0.446,93.044,4,chill
Julia Alexa,everything i couldn't be,everything i couldn't be,56,130052,False,0.674,0.266,10,-15.74,0,0.0492,0.928,0.000669,0.108,0.194,120.046,4,chill
lofi.samurai,oldies,let me hold you,65,85979,False,0.533,0.331,10,-15.903,0,0.588,0.982,0.652,0.829,0.23,69.527,4,chill
yaeow,my first songs,far away from here,57,132800,False,0.663,0.236,10,-15.844,0,0.0507,0.892,0.302,0.0788,0.236,74.97,4,chill
Teqkoi,It'll Be Alright,It'll Be Alright,56,133565,False,0.84,0.186,1,-14.994,1,0.0851,0.564,0.0,0.145,0.313,115.025,4,chill
Kochetkovv,It Won't Hurt,It Won't Hurt,58,134817,False,0.914,0.289,10,-11.716,0,0.239,0.628,0.28,0.275,0.722,113.944,4,chill
poofi.,Sugar Crash Lofi,Sugar Crash Lofi,44,99636,False,0.763,0.434,0,-12.659,1,0.16,0.69,5.7e-05,0.105,0.417,76.81,4,chill
Sarah Kang,Summer Is for Falling in Love,Summer Is for Falling in Love,62,186466,False,0.542,0.417,11,-8.05,1,0.218,0.469,6.87e-06,0.139,0.279,75.279,4,chill
Foster,fools (can't help falling in love) (slowed down & reverb),fools (can't help falling in love) (slowed down & reverb),54,197857,True,0.591,0.805,0,-5.235,1,0.271,0.64,0.0,0.143,0.283,136.629,4,chill
